read group,code,format,segment,reason,failed read count,total read count
UGAv3-1430,8,no trimming,insert,rsq file,365355,403944
UGAv3-1432,8,no trimming,insert,rsq file,13258,22769
UGAv3-1450,8,no trimming,insert,rsq file,6988,10911
UGAv3-1451,8,no trimming,insert,rsq file,774,2947
UGAv3-1452,8,no trimming,insert,rsq file,1419,4110
UGAv3-1463,8,no trimming,insert,rsq file,61205,62626
UGAv3-1466,8,no trimming,insert,rsq file,1223936,1240287
UGAv3-1469,8,no trimming,insert,rsq file,10101,24132
UGAv3-1493,8,no trimming,insert,rsq file,6838,15171
UGAv3-1496,8,no trimming,insert,rsq file,17109,28257
UGAv3-1505,8,no trimming,insert,rsq file,4843,12167
UGAv3-1507,8,no trimming,insert,rsq file,15663,17626
UGAv3-1520,8,no trimming,insert,rsq file,3704,5218
UGAv3-1527,8,no trimming,insert,rsq file,3567,11440
UGAv3-1531,8,no trimming,insert,rsq file,1731,7613
UGAv3-1546,8,no trimming,insert,rsq file,4052,11161
UGAv3-1559,8,no trimming,insert,rsq file,10499,34760
UGAv3-1564,8,no trimming,insert,rsq file,8513,14922
UGAv3-1565,8,no trimming,insert,rsq file,1810170,1826600
UGAv3-1568,8,no trimming,insert,rsq file,4220,9349
UGAv3-1570,8,no trimming,insert,rsq file,367711,383399
UGAv3-1572,8,no trimming,insert,rsq file,5255,6189
UGAv3-1574,8,no trimming,insert,rsq file,51164,56481
UGAv3-1577,8,no trimming,insert,rsq file,43724,57126
UGAv3-1589,8,no trimming,insert,rsq file,29843,41590
UGAv3-1593,8,no trimming,insert,rsq file,8744,30170
UGAv3-1598,8,no trimming,insert,rsq file,6994,14641
UGAv3-1601,8,no trimming,insert,rsq file,17291,28704
UGAv3-1602,8,no trimming,insert,rsq file,2664,6007
UGAv3-1607,8,no trimming,insert,rsq file,13356,21461
UGAv3-1611,8,no trimming,insert,rsq file,1884,8958
UGAv3-1612,8,no trimming,insert,rsq file,959,6312
UGAv3-1617,8,no trimming,insert,rsq file,11915,18595
UGAv3-1618,8,no trimming,insert,rsq file,50498,61563
UGAv3-1621,8,no trimming,insert,rsq file,289218,296541
UGAv3-1633,8,no trimming,insert,rsq file,2314,7916
UGAv3-1637,8,no trimming,insert,rsq file,3067,5520
UGAv3-1650,8,no trimming,insert,rsq file,4699,16774
UGAv3-1652,8,no trimming,insert,rsq file,10342,29219
UGAv3-1653,8,no trimming,insert,rsq file,5521,24426
UGAv3-1665,8,no trimming,insert,rsq file,15021,26974
UGAv3-1668,8,no trimming,insert,rsq file,7720,22697
UGAv3-1682,8,no trimming,insert,rsq file,5874,13348
UGAv3-1687,8,no trimming,insert,rsq file,3931,23335
UGAv3-1689,8,no trimming,insert,rsq file,38783,59644
UGAv3-1695,8,no trimming,insert,rsq file,10653,20963
UGAv3-1697,8,no trimming,insert,rsq file,2561,21035
UGAv3-1701,8,no trimming,insert,rsq file,14027,19687
UGAv3-1710,8,no trimming,insert,rsq file,38601,53701
UGAv3-1711,8,no trimming,insert,rsq file,5578,13666
UGAv3-1713,8,no trimming,insert,rsq file,10476,13649
UGAv3-1714,8,no trimming,insert,rsq file,70143,78523
UGAv3-1716,8,no trimming,insert,rsq file,3535,6327
UGAv3-1719,8,no trimming,insert,rsq file,6282,7219
UGAv3-1720,8,no trimming,insert,rsq file,17036,18851
UGAv3-1725,8,no trimming,insert,rsq file,1967,7398
UGAv3-1730,8,no trimming,insert,rsq file,5402,8181
UGAv3-1732,8,no trimming,insert,rsq file,3822,10376
UGAv3-1735,8,no trimming,insert,rsq file,8001,15429
UGAv3-1741,8,no trimming,insert,rsq file,6599,8803
UGAv3-1756,8,no trimming,insert,rsq file,7835,19947
UGAv3-1757,8,no trimming,insert,rsq file,7228,20506
UGAv3-1764,8,no trimming,insert,rsq file,2597,3626
UGAv3-1771,8,no trimming,insert,rsq file,2515,7961
UGAv3-1773,8,no trimming,insert,rsq file,6164,15211
UGAv3-1774,8,no trimming,insert,rsq file,1037,3052
UGAv3-1776,8,no trimming,insert,rsq file,2034,10568
UGAv3-1778,8,no trimming,insert,rsq file,7534,29724
UGAv3-1798,8,no trimming,insert,rsq file,14346,15760
UGAv3-1799,8,no trimming,insert,rsq file,26970,28101
UGAv3-1801,8,no trimming,insert,rsq file,5536,7644
UGAv3-1803,8,no trimming,insert,rsq file,19112,35820
UGAv3-1806,8,no trimming,insert,rsq file,80830,128541
UGAv3-1809,8,no trimming,insert,rsq file,2220,12676
UGAv3-1814,8,no trimming,insert,rsq file,4710,26836
UGAv3-1816,8,no trimming,insert,rsq file,8249,26639
UGAv3-1817,8,no trimming,insert,rsq file,4906,19911
UGAv3-1819,8,no trimming,insert,rsq file,2813,9054
UGAv3-1826,8,no trimming,insert,rsq file,2681,6920
UGAv3-1830,8,no trimming,insert,rsq file,1549,5712
UGAv3-1839,8,no trimming,insert,rsq file,12346,13079
UGAv3-1840,8,no trimming,insert,rsq file,2611,11296
UGAv3-1845,8,no trimming,insert,rsq file,2382,6105
UGAv3-1850,8,no trimming,insert,rsq file,8134,16887
UGAv3-1851,8,no trimming,insert,rsq file,41918,43597
UGAv3-1865,8,no trimming,insert,rsq file,2120,3707
UGAv3-1869,8,no trimming,insert,rsq file,7366,10007
UGAv3-1875,8,no trimming,insert,rsq file,1045,2939
UGAv3-1876,8,no trimming,insert,rsq file,2211,4842
UGAv3-1879,8,no trimming,insert,rsq file,495,1760
UGAv3-1886,8,no trimming,insert,rsq file,807347,817647
UGAv3-1892,8,no trimming,insert,rsq file,5519,16950
UGAv3-1897,8,no trimming,insert,rsq file,33687,35420
UGAv3-1899,8,no trimming,insert,rsq file,340011,702212
UGAv3-1900,8,no trimming,insert,rsq file,4274,14859
UGAv3-1917,8,no trimming,insert,rsq file,1535,3296
UGAv3-1921,8,no trimming,insert,rsq file,9015,19668
UGAv3-1922,8,no trimming,insert,rsq file,90195,92803
UGAv3-1927,8,no trimming,insert,rsq file,112719,115485
UGAv3-1928,8,no trimming,insert,rsq file,22677,24832
UGAv3-1941,8,no trimming,insert,rsq file,544841,675238
UGAv3-1942,8,no trimming,insert,rsq file,747661,756253
UGAv3-1945,8,no trimming,insert,rsq file,12178,20213
UGAv3-1948,8,no trimming,insert,rsq file,20393,22723
UGAv3-1960,8,no trimming,insert,rsq file,23891,32513
UGAv3-1962,8,no trimming,insert,rsq file,26701,28771
UGAv3-1964,8,no trimming,insert,rsq file,101930,109156
UGAv3-1965,8,no trimming,insert,rsq file,12518,17769
UGAv3-1969,8,no trimming,insert,rsq file,193343,196218
UGAv3-1974,8,no trimming,insert,rsq file,3261,5229
UGAv3-1985,8,no trimming,insert,rsq file,30087,33371
UGAv3-1987,8,no trimming,insert,rsq file,59074,67261
UGAv3-1998,8,no trimming,insert,rsq file,29074,35772
UGAv3-2015,8,no trimming,insert,rsq file,3385,5882
UGAv3-2019,8,no trimming,insert,rsq file,31145,33348
UGAv3-2020,8,no trimming,insert,rsq file,1133,1553
UGAv3-2023,8,no trimming,insert,rsq file,198228,199768
UGAv3-2024,8,no trimming,insert,rsq file,5355,13123
UGAv3-2028,8,no trimming,insert,rsq file,46371,48889
UGAv3-2036,8,no trimming,insert,rsq file,43324,45008
UGAv3-2042,8,no trimming,insert,rsq file,1685,4884
UGAv3-2043,8,no trimming,insert,rsq file,45058,49816
UGAv3-2045,8,no trimming,insert,rsq file,590,1207
UGAv3-2059,8,no trimming,insert,rsq file,7165,8481
UGAv3-2061,8,no trimming,insert,rsq file,4389,10558
UGAv3-2073,8,no trimming,insert,rsq file,10592,11115
UGAv3-461,8,no trimming,insert,rsq file,15056,18208
UGAv3-462,8,no trimming,insert,rsq file,6774,11566
UGAv3-463,8,no trimming,insert,rsq file,1223,6431
UGAv3-464,8,no trimming,insert,rsq file,10880,43055
UGAv3-465,8,no trimming,insert,rsq file,2269,4636
UGAv3-466,8,no trimming,insert,rsq file,2280,4939
UGAv3-467,8,no trimming,insert,rsq file,1536,2499
UGAv3-468,8,no trimming,insert,rsq file,37556,40730
