read group,code,format,segment,reason,failed read count,total read count
Z0038,8,no trimming,insert,rsq file,1430,4294
Z0039,8,no trimming,insert,rsq file,8269,18691
Z0040,8,no trimming,insert,rsq file,2014,3582
Z0041,8,no trimming,insert,rsq file,76421,80976
Z0042,8,no trimming,insert,rsq file,1044,1848
Z0043,8,no trimming,insert,rsq file,636,1869
Z0044,8,no trimming,insert,rsq file,15237,22306
Z0045,8,no trimming,insert,rsq file,5231,12038
Z0046,8,no trimming,insert,rsq file,29094,30074
Z0047,8,no trimming,insert,rsq file,6079,11791
Z0048,8,no trimming,insert,rsq file,9501,27660
Z0049,8,no trimming,insert,rsq file,2702,6483
Z0050,8,no trimming,insert,rsq file,16247,18904
Z0051,8,no trimming,insert,rsq file,43777,57480
Z0052,8,no trimming,insert,rsq file,3038,5537
Z0053,8,no trimming,insert,rsq file,129724,134357
Z0054,8,no trimming,insert,rsq file,7417,14053
Z0055,8,no trimming,insert,rsq file,4752,7240
Z0056,8,no trimming,insert,rsq file,3692,14609
Z0057,8,no trimming,insert,rsq file,7566,9007
Z0058,8,no trimming,insert,rsq file,2228750,2232595
Z0059,8,no trimming,insert,rsq file,71231,73258
Z0060,8,no trimming,insert,rsq file,6696,9699
Z0061,8,no trimming,insert,rsq file,7318,13114
Z0062,8,no trimming,insert,rsq file,11591,21257
Z0063,8,no trimming,insert,rsq file,78830,85715
Z0064,8,no trimming,insert,rsq file,40665,50536
Z0065,8,no trimming,insert,rsq file,277091,290957
Z0066,8,no trimming,insert,rsq file,1006,3788
Z0067,8,no trimming,insert,rsq file,1809,6260
Z0068,8,no trimming,insert,rsq file,7203,10821
Z0069,8,no trimming,insert,rsq file,3230,9950
Z0070,8,no trimming,insert,rsq file,106365,108966
Z0071,8,no trimming,insert,rsq file,89584,94454
Z0072,8,no trimming,insert,rsq file,11731,36004
Z0073,8,no trimming,insert,rsq file,3479,5432
Z0074,8,no trimming,insert,rsq file,2008,5697
Z0075,8,no trimming,insert,rsq file,8191,11910
Z0076,8,no trimming,insert,rsq file,1233,3730
Z0077,8,no trimming,insert,rsq file,4505,17899
Z0078,8,no trimming,insert,rsq file,6437,10330
Z0079,8,no trimming,insert,rsq file,1506,4992
Z0080,8,no trimming,insert,rsq file,3685,9485
Z0081,8,no trimming,insert,rsq file,9029,23537
Z0082,8,no trimming,insert,rsq file,275430,279772
Z0083,8,no trimming,insert,rsq file,115173,126020
Z0084,8,no trimming,insert,rsq file,88528,93371
Z0085,8,no trimming,insert,rsq file,8756,24397
Z0086,8,no trimming,insert,rsq file,4542,12429
Z0087,8,no trimming,insert,rsq file,7143,11493
Z0088,8,no trimming,insert,rsq file,5456,25008
Z0089,8,no trimming,insert,rsq file,16466,29390
Z0090,8,no trimming,insert,rsq file,1501,7017
Z0091,8,no trimming,insert,rsq file,2143,5771
Z0092,8,no trimming,insert,rsq file,3396,11711
Z0093,8,no trimming,insert,rsq file,320028,332083
Z0094,8,no trimming,insert,rsq file,44560,52610
Z0095,8,no trimming,insert,rsq file,5615,18495
Z0096,8,no trimming,insert,rsq file,1721,7425
Z0097,8,no trimming,insert,rsq file,84807,97759
Z0098,8,no trimming,insert,rsq file,4504,16488
Z0099,8,no trimming,insert,rsq file,941,2340
Z0100,8,no trimming,insert,rsq file,9655,14714
Z0101,8,no trimming,insert,rsq file,6670,9532
Z0102,8,no trimming,insert,rsq file,7712,18122
Z0103,8,no trimming,insert,rsq file,14151,33050
Z0104,8,no trimming,insert,rsq file,1297,2060
Z0105,8,no trimming,insert,rsq file,15444,17239
Z0106,8,no trimming,insert,rsq file,20690,37845
Z0107,8,no trimming,insert,rsq file,3056,7575
Z0108,8,no trimming,insert,rsq file,5182,6252
Z0109,8,no trimming,insert,rsq file,2816,7777
Z0110,8,no trimming,insert,rsq file,1093,4331
Z0111,8,no trimming,insert,rsq file,5761,25701
Z0112,8,no trimming,insert,rsq file,3512,5783
Z0113,8,no trimming,insert,rsq file,8481,21543
Z0114,8,no trimming,insert,rsq file,17017,29268
Z0115,8,no trimming,insert,rsq file,56231,61706
Z0116,8,no trimming,insert,rsq file,6935,19772
Z0117,8,no trimming,insert,rsq file,6726,8678
Z0118,8,no trimming,insert,rsq file,121924,125772
Z0119,8,no trimming,insert,rsq file,9709,16538
Z0120,8,no trimming,insert,rsq file,241246,244106
Z0121,8,no trimming,insert,rsq file,80888,83602
Z0122,8,no trimming,insert,rsq file,10396,14984
Z0123,8,no trimming,insert,rsq file,10230,14141
Z0124,8,no trimming,insert,rsq file,4214,8301
Z0125,8,no trimming,insert,rsq file,65458,89955
Z0126,8,no trimming,insert,rsq file,14833,21904
Z0127,8,no trimming,insert,rsq file,820,3987
Z0128,8,no trimming,insert,rsq file,157730,162373
Z0129,8,no trimming,insert,rsq file,30041,33286
Z0130,8,no trimming,insert,rsq file,1143,5738
Z0131,8,no trimming,insert,rsq file,1101,1938
Z0132,8,no trimming,insert,rsq file,1972,11325
Z0133,8,no trimming,insert,rsq file,3515,15473
Z0134,8,no trimming,insert,rsq file,5182,17087
Z0135,8,no trimming,insert,rsq file,547,1550
Z0136,8,no trimming,insert,rsq file,4556,16614
Z0137,8,no trimming,insert,rsq file,6161,12915
Z0138,8,no trimming,insert,rsq file,12859,17165
Z0139,8,no trimming,insert,rsq file,78370,84078
Z0140,8,no trimming,insert,rsq file,17821,22633
Z0141,8,no trimming,insert,rsq file,674318,688102
Z0142,8,no trimming,insert,rsq file,16220,19168
Z0143,8,no trimming,insert,rsq file,8535,13453
Z0144,8,no trimming,insert,rsq file,57075,61049
Z0145,8,no trimming,insert,rsq file,45577,48549
Z0146,8,no trimming,insert,rsq file,17609,19720
Z0147,8,no trimming,insert,rsq file,1462,2249
Z0148,8,no trimming,insert,rsq file,5571,8896
Z0149,8,no trimming,insert,rsq file,4130,9022
Z0150,8,no trimming,insert,rsq file,1537,2072
Z0151,8,no trimming,insert,rsq file,47192,56246
Z0152,8,no trimming,insert,rsq file,135304,143859
Z0153,8,no trimming,insert,rsq file,13505,57774
Z0154,8,no trimming,insert,rsq file,2549,7934
Z0155,8,no trimming,insert,rsq file,8949,23712
Z0156,8,no trimming,insert,rsq file,6928,16855
Z0157,8,no trimming,insert,rsq file,44432,46920
Z0158,8,no trimming,insert,rsq file,2404,7230
Z0159,8,no trimming,insert,rsq file,382,902
Z0160,8,no trimming,insert,rsq file,102467,119484
Z0161,8,no trimming,insert,rsq file,7216,13758
Z0162,8,no trimming,insert,rsq file,4626,18378
Z0163,8,no trimming,insert,rsq file,6606,17156
Z0164,8,no trimming,insert,rsq file,992792,1000272
Z0165,8,no trimming,insert,rsq file,2605,6141
Z0166,8,no trimming,insert,rsq file,10578,19260
Z0167,8,no trimming,insert,rsq file,17532,21892
Z0168,8,no trimming,insert,rsq file,12621,25761
Z0169,8,no trimming,insert,rsq file,134983,138254
Z0170,8,no trimming,insert,rsq file,7545,22257
Z0171,8,no trimming,insert,rsq file,18484,22264
Z0172,8,no trimming,insert,rsq file,13730,41101
Z0173,8,no trimming,insert,rsq file,12753,18321
Z0174,8,no trimming,insert,rsq file,3213,8625
Z0175,8,no trimming,insert,rsq file,6047,9718
Z0176,8,no trimming,insert,rsq file,3652,18790
Z0177,8,no trimming,insert,rsq file,17388,19250
Z0178,8,no trimming,insert,rsq file,95799,103753
Z0179,8,no trimming,insert,rsq file,1190,5387
Z0180,8,no trimming,insert,rsq file,881,2833
Z0181,8,no trimming,insert,rsq file,13734,29277
Z0182,8,no trimming,insert,rsq file,5207,8203
Z0183,8,no trimming,insert,rsq file,14069,18506
Z0184,8,no trimming,insert,rsq file,6968,16125
Z0185,8,no trimming,insert,rsq file,424629,431271
Z0186,8,no trimming,insert,rsq file,7200,14585
Z0187,8,no trimming,insert,rsq file,9565,27590
Z0188,8,no trimming,insert,rsq file,1689499,1708327
Z0189,8,no trimming,insert,rsq file,27881,43237
Z0190,8,no trimming,insert,rsq file,3370,6950
Z0191,8,no trimming,insert,rsq file,53641,65647
Z0192,8,no trimming,insert,rsq file,610035,624583
Z0193,8,no trimming,insert,rsq file,1703,10871
Z0194,8,no trimming,insert,rsq file,13528,39740
Z0195,8,no trimming,insert,rsq file,27817,30610
Z0196,8,no trimming,insert,rsq file,27392,31276
Z0197,8,no trimming,insert,rsq file,5938,9773
Z0198,8,no trimming,insert,rsq file,1858,5806
Z0199,8,no trimming,insert,rsq file,23037,39322
Z0200,8,no trimming,insert,rsq file,9045,13329
Z0201,8,no trimming,insert,rsq file,93787,94438
Z0202,8,no trimming,insert,rsq file,1678,6043
Z0203,8,no trimming,insert,rsq file,1658,4409
Z0204,8,no trimming,insert,rsq file,10779,11497
Z0205,8,no trimming,insert,rsq file,8298,23378
Z0206,8,no trimming,insert,rsq file,12561,17663
Z0207,8,no trimming,insert,rsq file,1374,4694
Z0208,8,no trimming,insert,rsq file,7166,10531
Z0209,8,no trimming,insert,rsq file,2202,5389
Z0210,8,no trimming,insert,rsq file,45519,48363
Z0211,8,no trimming,insert,rsq file,1225,6026
Z0212,8,no trimming,insert,rsq file,1842,6158
Z0213,8,no trimming,insert,rsq file,109173,114124
Z0214,8,no trimming,insert,rsq file,6155,8918
Z0215,8,no trimming,insert,rsq file,3061,4133
Z0216,8,no trimming,insert,rsq file,3346,4976
Z0217,8,no trimming,insert,rsq file,1362,5829
Z0218,8,no trimming,insert,rsq file,28945,42093
Z0219,8,no trimming,insert,rsq file,2133,5758
Z0220,8,no trimming,insert,rsq file,679,2917
Z0221,8,no trimming,insert,rsq file,213748,216849
Z0222,8,no trimming,insert,rsq file,23686,34090
Z0223,8,no trimming,insert,rsq file,2811,8507
Z0224,8,no trimming,insert,rsq file,1143492,1151106
Z0225,8,no trimming,insert,rsq file,55453,58816
Z0226,8,no trimming,insert,rsq file,5835,6950
Z0227,8,no trimming,insert,rsq file,12485,18242
Z0228,8,no trimming,insert,rsq file,5451,6603
Z0229,8,no trimming,insert,rsq file,2491,3867
Z0230,8,no trimming,insert,rsq file,23524,41159
Z0231,8,no trimming,insert,rsq file,1845,7600
Z0232,8,no trimming,insert,rsq file,8923,11218
Z0233,8,no trimming,insert,rsq file,824265,1758244
Z0234,8,no trimming,insert,rsq file,10772,14886
Z0235,8,no trimming,insert,rsq file,79691,86248
Z0236,8,no trimming,insert,rsq file,3024,12224
Z0237,8,no trimming,insert,rsq file,11466,25308
Z0238,8,no trimming,insert,rsq file,51395,55422
Z0239,8,no trimming,insert,rsq file,3356,4267
Z0240,8,no trimming,insert,rsq file,34812,50815
Z0241,8,no trimming,insert,rsq file,3645,6761
Z0242,8,no trimming,insert,rsq file,14154,18473
Z0243,8,no trimming,insert,rsq file,2237,4826
Z0244,8,no trimming,insert,rsq file,2354,9031
Z0245,8,no trimming,insert,rsq file,879,2043
Z0246,8,no trimming,insert,rsq file,1356,4396
Z0247,8,no trimming,insert,rsq file,40809,54706
Z0248,8,no trimming,insert,rsq file,35843,46950
Z0249,8,no trimming,insert,rsq file,17695,33540
Z0250,8,no trimming,insert,rsq file,932,1857
Z0251,8,no trimming,insert,rsq file,19378,31493
Z0252,8,no trimming,insert,rsq file,159039,161766
Z0253,8,no trimming,insert,rsq file,1059,3537
Z0254,8,no trimming,insert,rsq file,17560,36719
Z0255,8,no trimming,insert,rsq file,19465,25168
Z0256,8,no trimming,insert,rsq file,107369,112825
Z0257,8,no trimming,insert,rsq file,66087,82138
Z0258,8,no trimming,insert,rsq file,3363,14815
Z0259,8,no trimming,insert,rsq file,150669,162743
Z0260,8,no trimming,insert,rsq file,5973,16188
Z0261,8,no trimming,insert,rsq file,175584,203793
Z0262,8,no trimming,insert,rsq file,3000,19113
Z0263,8,no trimming,insert,rsq file,3404,4285
Z0264,8,no trimming,insert,rsq file,1247,4925
Z0265,8,no trimming,insert,rsq file,7310,9654
Z0266,8,no trimming,insert,rsq file,645,2874
Z0267,8,no trimming,insert,rsq file,7547136,7637456
Z0268,8,no trimming,insert,rsq file,4164,5029
Z0269,8,no trimming,insert,rsq file,1189,5208
Z0270,8,no trimming,insert,rsq file,19866,22705
Z0271,8,no trimming,insert,rsq file,2423,3575
Z0272,8,no trimming,insert,rsq file,4124,9708
Z0273,8,no trimming,insert,rsq file,4338,7690
Z0274,8,no trimming,insert,rsq file,18846,21997
Z0275,8,no trimming,insert,rsq file,39638,55440
Z0276,8,no trimming,insert,rsq file,17451,30051
Z0277,8,no trimming,insert,rsq file,2461,4637
Z0278,8,no trimming,insert,rsq file,4376,17163
Z0279,8,no trimming,insert,rsq file,2833,11390
Z0280,8,no trimming,insert,rsq file,455,2386
Z0281,8,no trimming,insert,rsq file,25780,28560
Z0282,8,no trimming,insert,rsq file,4407,11194
Z0283,8,no trimming,insert,rsq file,38611,42655
Z0284,8,no trimming,insert,rsq file,1154,3058
Z0285,8,no trimming,insert,rsq file,41541,43939
Z0286,8,no trimming,insert,rsq file,115497,135352
Z0287,8,no trimming,insert,rsq file,23993,28057
Z0288,8,no trimming,insert,rsq file,3981,7648
Z0289,8,no trimming,insert,rsq file,12009,13214
Z0290,8,no trimming,insert,rsq file,5741,9205
Z0291,8,no trimming,insert,rsq file,48469,65836
Z0292,8,no trimming,insert,rsq file,597,1423
Z0293,8,no trimming,insert,rsq file,13965,20166
Z0294,8,no trimming,insert,rsq file,911,3775
Z0295,8,no trimming,insert,rsq file,53655,58748
Z0296,8,no trimming,insert,rsq file,2614,6246
Z0297,8,no trimming,insert,rsq file,1665,6197
Z0298,8,no trimming,insert,rsq file,4646,17308
Z0299,8,no trimming,insert,rsq file,68151,72381
Z0300,8,no trimming,insert,rsq file,6416,19805
Z0301,8,no trimming,insert,rsq file,10780,35226
Z0302,8,no trimming,insert,rsq file,47458,59801
Z0303,8,no trimming,insert,rsq file,3058,6826
Z0304,8,no trimming,insert,rsq file,7603,18546
Z0305,8,no trimming,insert,rsq file,495363,1612869
Z0306,8,no trimming,insert,rsq file,3285,17823
Z0307,8,no trimming,insert,rsq file,7807,31225
Z0308,8,no trimming,insert,rsq file,2134,6182
Z0309,8,no trimming,insert,rsq file,24139,30181
Z0310,8,no trimming,insert,rsq file,7445,24226
Z0311,8,no trimming,insert,rsq file,116395,121664
Z0312,8,no trimming,insert,rsq file,7512,22289
Z0313,8,no trimming,insert,rsq file,60006,73925
Z0314,8,no trimming,insert,rsq file,21238,23455
Z0315,8,no trimming,insert,rsq file,1010,3572
Z0316,8,no trimming,insert,rsq file,11832,14712
Z0317,8,no trimming,insert,rsq file,45299,47510
Z0318,8,no trimming,insert,rsq file,7265,20614
Z0319,8,no trimming,insert,rsq file,50630,54371
Z0320,8,no trimming,insert,rsq file,6920,9958
Z0321,8,no trimming,insert,rsq file,6360,17721
Z0322,8,no trimming,insert,rsq file,8945,24128
Z0323,8,no trimming,insert,rsq file,77608,80968
Z0324,8,no trimming,insert,rsq file,19025,34207
Z0325,8,no trimming,insert,rsq file,252744,257861
Z0326,8,no trimming,insert,rsq file,3819,10624
Z0327,8,no trimming,insert,rsq file,5843,14957
Z0328,8,no trimming,insert,rsq file,4630,16597
Z0329,8,no trimming,insert,rsq file,1070412,1084104
Z0330,8,no trimming,insert,rsq file,11725,15781
Z0331,8,no trimming,insert,rsq file,3418,6246
Z0332,8,no trimming,insert,rsq file,2366,4785
Z0333,8,no trimming,insert,rsq file,25887,51634
Z0334,8,no trimming,insert,rsq file,10129,13914
Z0335,8,no trimming,insert,rsq file,2045,7335
Z0336,8,no trimming,insert,rsq file,4639,13676
Z0337,8,no trimming,insert,rsq file,1041,2419
Z0338,8,no trimming,insert,rsq file,38005,43862
Z0339,8,no trimming,insert,rsq file,8705,19658
Z0340,8,no trimming,insert,rsq file,30700,41766
Z0341,8,no trimming,insert,rsq file,1459,7287
Z0342,8,no trimming,insert,rsq file,5264,6264
Z0343,8,no trimming,insert,rsq file,5082497,5085659
Z0344,8,no trimming,insert,rsq file,5031,18583
Z0345,8,no trimming,insert,rsq file,2624,10635
Z0346,8,no trimming,insert,rsq file,1003,2004
Z0347,8,no trimming,insert,rsq file,23523,27173
Z0348,8,no trimming,insert,rsq file,9593,12412
Z0349,8,no trimming,insert,rsq file,9404,32203
Z0350,8,no trimming,insert,rsq file,6484,24127
Z0351,8,no trimming,insert,rsq file,18957,22074
Z0352,8,no trimming,insert,rsq file,2218,4982
Z0353,8,no trimming,insert,rsq file,12883,17064
Z0354,8,no trimming,insert,rsq file,30679,45885
Z0355,8,no trimming,insert,rsq file,12241,22577
Z0356,8,no trimming,insert,rsq file,65212,80552
Z0357,8,no trimming,insert,rsq file,1700,3800
Z0358,8,no trimming,insert,rsq file,3130,6207
Z0359,8,no trimming,insert,rsq file,29082,29838
Z0360,8,no trimming,insert,rsq file,2989,4937
Z0361,8,no trimming,insert,rsq file,61590,65170
Z0362,8,no trimming,insert,rsq file,3141,6488
Z0363,8,no trimming,insert,rsq file,1426,4041
Z0364,8,no trimming,insert,rsq file,1025,4009
Z0365,8,no trimming,insert,rsq file,185922,208076
Z0366,8,no trimming,insert,rsq file,8411,12862
Z0367,8,no trimming,insert,rsq file,6005,8695
Z0368,8,no trimming,insert,rsq file,74194,81146
Z0369,8,no trimming,insert,rsq file,295194,320074
Z0370,8,no trimming,insert,rsq file,55972,115119
Z0371,8,no trimming,insert,rsq file,34607,37339
Z0372,8,no trimming,insert,rsq file,1805,4059
Z0373,8,no trimming,insert,rsq file,1103,4999
Z0374,8,no trimming,insert,rsq file,4507,16934
Z0375,8,no trimming,insert,rsq file,148351,152447
Z0376,8,no trimming,insert,rsq file,4731,25657
Z0377,8,no trimming,insert,rsq file,13006,15850
Z0378,8,no trimming,insert,rsq file,11659,16874
Z0379,8,no trimming,insert,rsq file,959,4157
Z0380,8,no trimming,insert,rsq file,3486,13094
Z0381,8,no trimming,insert,rsq file,4676,16174
Z0382,8,no trimming,insert,rsq file,1327,2361
Z0383,8,no trimming,insert,rsq file,2466,8221
Z0384,8,no trimming,insert,rsq file,26227,46803
Z0385,8,no trimming,insert,rsq file,11327,20948
Z0386,8,no trimming,insert,rsq file,136696,158083
Z0387,8,no trimming,insert,rsq file,5653,11690
Z0388,8,no trimming,insert,rsq file,3559,12178
Z0389,8,no trimming,insert,rsq file,7883,13850
Z0390,8,no trimming,insert,rsq file,1980,5950
Z0391,8,no trimming,insert,rsq file,3640,14607
Z0392,8,no trimming,insert,rsq file,7126,28483
Z0393,8,no trimming,insert,rsq file,4125,13313
Z0394,8,no trimming,insert,rsq file,72060,77869
Z0395,8,no trimming,insert,rsq file,2536,4673
Z0396,8,no trimming,insert,rsq file,1900,8733
Z0397,8,no trimming,insert,rsq file,8216,13231
Z0398,8,no trimming,insert,rsq file,14926,17880
Z0399,8,no trimming,insert,rsq file,902762,914273
Z0400,8,no trimming,insert,rsq file,8784,22891
Z0401,8,no trimming,insert,rsq file,5155,10467
Z0402,8,no trimming,insert,rsq file,2163,3946
Z0403,8,no trimming,insert,rsq file,11129,15399
Z0404,8,no trimming,insert,rsq file,7280,8698
Z0405,8,no trimming,insert,rsq file,125674,150357
Z0406,8,no trimming,insert,rsq file,10882,15044
Z0407,8,no trimming,insert,rsq file,1192,2340
Z0408,8,no trimming,insert,rsq file,733,2853
Z0409,8,no trimming,insert,rsq file,663,2729
Z0410,8,no trimming,insert,rsq file,1867,5490
Z0411,8,no trimming,insert,rsq file,30932,42401
Z0412,8,no trimming,insert,rsq file,3864,7829
Z0413,8,no trimming,insert,rsq file,16665,25574
Z0414,8,no trimming,insert,rsq file,1724,5911
Z0415,8,no trimming,insert,rsq file,1726428,1731038
Z0416,8,no trimming,insert,rsq file,2667,7993
Z0417,8,no trimming,insert,rsq file,984,2974
Z0418,8,no trimming,insert,rsq file,6446,12517
Z0419,8,no trimming,insert,rsq file,5908,19272
Z0420,8,no trimming,insert,rsq file,50895,72646
Z0421,8,no trimming,insert,rsq file,8748,27252
Z0422,8,no trimming,insert,rsq file,1708,6148
Z0423,8,no trimming,insert,rsq file,941,4057
Z0424,8,no trimming,insert,rsq file,39173,43966
Z0425,8,no trimming,insert,rsq file,20495,32702
Z0426,8,no trimming,insert,rsq file,3485,7411
Z0427,8,no trimming,insert,rsq file,6812,7889
Z0428,8,no trimming,insert,rsq file,13825,19149
Z0429,8,no trimming,insert,rsq file,1148,3771
Z0430,8,no trimming,insert,rsq file,7902,14150
Z0431,8,no trimming,insert,rsq file,31839,35437
Z0432,8,no trimming,insert,rsq file,1150,3680
Z0433,8,no trimming,insert,rsq file,3448,5401
Z0434,8,no trimming,insert,rsq file,4076,20042
Z0435,8,no trimming,insert,rsq file,1976,5143
Z0436,8,no trimming,insert,rsq file,9316,26700
Z0437,8,no trimming,insert,rsq file,142877,159097
Z0438,8,no trimming,insert,rsq file,34537,37379
Z0439,8,no trimming,insert,rsq file,3785,6816
Z0440,8,no trimming,insert,rsq file,10029,27219
Z0441,8,no trimming,insert,rsq file,11038,16744
Z0442,8,no trimming,insert,rsq file,3887,8741
Z0443,8,no trimming,insert,rsq file,2318,5056
Z0444,8,no trimming,insert,rsq file,2129,5838
Z0445,8,no trimming,insert,rsq file,3132,13152
Z0446,8,no trimming,insert,rsq file,16485,21798
Z0447,8,no trimming,insert,rsq file,21203,24556
Z0448,8,no trimming,insert,rsq file,9266,26558
Z0449,8,no trimming,insert,rsq file,8871,11173
Z0450,8,no trimming,insert,rsq file,1813579,1831154
Z0451,8,no trimming,insert,rsq file,6706,10487
Z0452,8,no trimming,insert,rsq file,2224,6096
Z0453,8,no trimming,insert,rsq file,5736,18177
Z0454,8,no trimming,insert,rsq file,5327,16857
Z0455,8,no trimming,insert,rsq file,5646,28217
Z0456,8,no trimming,insert,rsq file,10532,15437
Z0457,8,no trimming,insert,rsq file,124088,127837
Z0458,8,no trimming,insert,rsq file,48877,57088
Z0459,8,no trimming,insert,rsq file,15101,24358
Z0460,8,no trimming,insert,rsq file,2341,8976
Z0461,8,no trimming,insert,rsq file,5374,6292
Z0462,8,no trimming,insert,rsq file,3577,7172
Z0463,8,no trimming,insert,rsq file,19561,22438
Z0464,8,no trimming,insert,rsq file,13606,19187
Z0465,8,no trimming,insert,rsq file,7624,20481
Z0466,8,no trimming,insert,rsq file,3070,11811
Z0467,8,no trimming,insert,rsq file,425604,431326
Z0468,8,no trimming,insert,rsq file,122003,125621
Z0469,8,no trimming,insert,rsq file,2471,4415
Z0470,8,no trimming,insert,rsq file,3757,8966
Z0471,8,no trimming,insert,rsq file,2966,4339
Z0472,8,no trimming,insert,rsq file,3531,7532
Z0473,8,no trimming,insert,rsq file,6717,21841
Z0474,8,no trimming,insert,rsq file,19758,27392
Z0475,8,no trimming,insert,rsq file,1883,6526
Z0476,8,no trimming,insert,rsq file,2173,9625
Z0477,8,no trimming,insert,rsq file,20607,37171
Z0478,8,no trimming,insert,rsq file,2791,4807
Z0479,8,no trimming,insert,rsq file,18025,49353
Z0480,8,no trimming,insert,rsq file,6240,11005
Z0481,8,no trimming,insert,rsq file,799,3554
Z0482,8,no trimming,insert,rsq file,8342,24115
Z0483,8,no trimming,insert,rsq file,3025,7748
Z0484,8,no trimming,insert,rsq file,21586,23164
Z0485,8,no trimming,insert,rsq file,53100,55548
Z0486,8,no trimming,insert,rsq file,181438,200165
Z0487,8,no trimming,insert,rsq file,21703,26566
Z0488,8,no trimming,insert,rsq file,7189,11236
Z0489,8,no trimming,insert,rsq file,5302,10952
Z0490,8,no trimming,insert,rsq file,2246,13216
Z0491,8,no trimming,insert,rsq file,1388,3743
Z0492,8,no trimming,insert,rsq file,5262,10103
Z0493,8,no trimming,insert,rsq file,237194,241350
Z0494,8,no trimming,insert,rsq file,5825,11891
Z0495,8,no trimming,insert,rsq file,7988,15144
Z0496,8,no trimming,insert,rsq file,7985,10898
Z0497,8,no trimming,insert,rsq file,3565,7502
Z0498,8,no trimming,insert,rsq file,3745,8317
Z0499,8,no trimming,insert,rsq file,3189,7228
Z0500,8,no trimming,insert,rsq file,7040,11216
Z0501,8,no trimming,insert,rsq file,4406,8709
Z0502,8,no trimming,insert,rsq file,263658,278805
Z0503,8,no trimming,insert,rsq file,4411,11531
Z0504,8,no trimming,insert,rsq file,879560,882555
Z0505,8,no trimming,insert,rsq file,88510,90550
Z0506,8,no trimming,insert,rsq file,13579,16376
Z0507,8,no trimming,insert,rsq file,9747,14562
Z0508,8,no trimming,insert,rsq file,1130,3891
Z0509,8,no trimming,insert,rsq file,6376,7069
Z0510,8,no trimming,insert,rsq file,76933,82961
Z0511,8,no trimming,insert,rsq file,5082,17654
Z0512,8,no trimming,insert,rsq file,6990,12112
Z0513,8,no trimming,insert,rsq file,3660,18878
Z0514,8,no trimming,insert,rsq file,8530,12413
Z0515,8,no trimming,insert,rsq file,647503,661298
Z0516,8,no trimming,insert,rsq file,5982,18751
Z0517,8,no trimming,insert,rsq file,4872,15489
Z0518,8,no trimming,insert,rsq file,1336,6060
Z0519,8,no trimming,insert,rsq file,7490,20130
Z0520,8,no trimming,insert,rsq file,30674,31628
Z0521,8,no trimming,insert,rsq file,8922,11837
Z0522,8,no trimming,insert,rsq file,3299,8454
Z0523,8,no trimming,insert,rsq file,2119,4765
Z0524,8,no trimming,insert,rsq file,45560,66433
Z0525,8,no trimming,insert,rsq file,4758,15944
Z0526,8,no trimming,insert,rsq file,21301,23833
Z0527,8,no trimming,insert,rsq file,442317,448781
Z0528,8,no trimming,insert,rsq file,2702,14395
Z0529,8,no trimming,insert,rsq file,23166,29785
Z0530,8,no trimming,insert,rsq file,7322,12724
Z0531,8,no trimming,insert,rsq file,8327,10882
Z0532,8,no trimming,insert,rsq file,19159,24178
Z0533,8,no trimming,insert,rsq file,32684,51587
Z0534,8,no trimming,insert,rsq file,3490,6471
Z0535,8,no trimming,insert,rsq file,7482,12540
Z0536,8,no trimming,insert,rsq file,47842,53817
Z0537,8,no trimming,insert,rsq file,2394,6293
Z0538,8,no trimming,insert,rsq file,2681,4554
Z0539,8,no trimming,insert,rsq file,6065,19216
Z0540,8,no trimming,insert,rsq file,4408,6190
Z0541,8,no trimming,insert,rsq file,6717,7789
Z0542,8,no trimming,insert,rsq file,23918,27721
Z0543,8,no trimming,insert,rsq file,401,1979
Z0544,8,no trimming,insert,rsq file,1470,5293
Z0545,8,no trimming,insert,rsq file,17127,22618
Z0546,8,no trimming,insert,rsq file,29394,32739
Z0547,8,no trimming,insert,rsq file,4062,14101
Z0548,8,no trimming,insert,rsq file,20069,24289
Z0549,8,no trimming,insert,rsq file,3263,7308
Z0550,8,no trimming,insert,rsq file,11796,57870
Z0551,8,no trimming,insert,rsq file,40754,44180
Z0552,8,no trimming,insert,rsq file,590,3070
Z0553,8,no trimming,insert,rsq file,239443,244395
Z0554,8,no trimming,insert,rsq file,6251,8004
Z0555,8,no trimming,insert,rsq file,8021,11818
Z0556,8,no trimming,insert,rsq file,4235,9608
Z0557,8,no trimming,insert,rsq file,3351,6658
Z0558,8,no trimming,insert,rsq file,28947,32721
Z0559,8,no trimming,insert,rsq file,5971,9926
Z0560,8,no trimming,insert,rsq file,86932,108847
Z0561,8,no trimming,insert,rsq file,90826,96032
Z0562,8,no trimming,insert,rsq file,193158,211264
Z0563,8,no trimming,insert,rsq file,1810,7257
Z0564,8,no trimming,insert,rsq file,6972,11637
Z0565,8,no trimming,insert,rsq file,21164,25437
Z0566,8,no trimming,insert,rsq file,11174,16291
Z0567,8,no trimming,insert,rsq file,3419,8485
Z0568,8,no trimming,insert,rsq file,52895,57760
Z0569,8,no trimming,insert,rsq file,21950,40304
Z0570,8,no trimming,insert,rsq file,2230,6105
Z0571,8,no trimming,insert,rsq file,516095,524568
Z0572,8,no trimming,insert,rsq file,10079,15509
Z0573,8,no trimming,insert,rsq file,27309,46040
Z0574,8,no trimming,insert,rsq file,9158,20807
