phix alignment so merging alignments with
recalibrated qvals
do not compress output bam file
input bam file ../8926_1.bam
intensity_dir /nfs/sf47/ILorHSany_sf47/analysis//121130_HS9_08926_A_C16HRACXX/Data/Intensities
cstart1 1
cstart2 84
ct 8926_1_purity_cycle_caltable.txt
intensity directory /nfs/sf47/ILorHSany_sf47/analysis//121130_HS9_08926_A_C16HRACXX/Data/Intensities
Recalibrating...
Will write to stdout
[Mon Dec 10 07:30:34 GMT 2012] uk.ac.sanger.npg.picard.BamMerger ALIGNED_BAM=pb_align_8926_1.bam INPUT=/dev/stdin OUTPUT=8926_1.bam KEEP_EXTRA_UNMAPPED_READS=true REPLACE_ALIGNED_BASE_QUALITY=true VALIDATION_STRINGENCY=SILENT CREATE_MD5_FILE=true    ALIGNMENT_PROGRAM_ID=bwa KEEP_ALL_PG=false VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false
[Mon Dec 10 07:30:34 GMT 2012] Executing as srpipe@sf-5-2-16 on Linux 2.6.32.59-sles-lustre-1.8.8wc1 amd64; Java HotSpot(TM) 64-Bit Server VM 1.6.0_14-b08; Picard version: V1.08
INFO	2012-12-10 07:30:34	BamMerger	Checking input and output file
Cmd: /software/solexa/bin/pb_calibration/v10.1/spatial_filter -a  -f  -u  -F pb_align_8926_1.bam.filter -
reading calibration table 8926_1_purity_cycle_caltable.txt
bad tile=1203 read=1 cycle= 39
bad tile=1203 read=1 cycle= 40
bad tile=1203 read=1 cycle= 41
bad tile=1204 read=1 cycle= 47
bad tile=1204 read=1 cycle= 50
bad tile=1204 read=1 cycle= 51
bad tile=1204 read=1 cycle= 52
bad tile=1204 read=1 cycle= 53
bad tile=1204 read=1 cycle= 54
bad tile=1204 read=1 cycle= 55
bad tile=1204 read=1 cycle= 56
bad tile=1204 read=1 cycle= 57
bad tile=1204 read=1 cycle= 58
bad tile=1204 read=1 cycle= 59
bad tile=1204 read=1 cycle= 60
bad tile=1204 read=1 cycle= 61
bad tile=1204 read=1 cycle= 62
bad tile=1204 read=1 cycle= 63
bad tile=1204 read=1 cycle= 64
bad tile=1204 read=1 cycle= 65
bad tile=1204 read=1 cycle= 66
bad tile=1204 read=1 cycle= 67
bad tile=1204 read=1 cycle= 68
bad tile=1204 read=1 cycle= 69
bad tile=1204 read=1 cycle= 72
bad tile=1204 read=2 cycle= 70
bad tile=1205 read=2 cycle= 53
bad tile=1205 read=2 cycle= 57
bad tile=1207 read=1 cycle= 14
bad tile=1207 read=1 cycle= 16
bad tile=1208 read=1 cycle= 22
bad tile=1208 read=1 cycle= 23
bad tile=1208 read=1 cycle= 25
bad tile=1208 read=2 cycle= 17
bad tile=1209 read=1 cycle= 37
bad tile=1209 read=1 cycle= 38
bad tile=1209 read=1 cycle= 39
bad tile=1209 read=1 cycle= 40
bad tile=1209 read=1 cycle= 41
bad tile=1209 read=1 cycle= 42
bad tile=1209 read=1 cycle= 43
bad tile=1210 read=2 cycle= 11
bad tile=1210 read=2 cycle= 19
bad tile=1210 read=2 cycle= 28
bad tile=1210 read=2 cycle= 37
bad tile=1210 read=2 cycle= 43
bad tile=1212 read=2 cycle= 47
bad tile=1214 read=2 cycle= 30
bad tile=1216 read=2 cycle= 21
bad tile=1216 read=2 cycle= 27
bad tile=1216 read=2 cycle= 30
bad tile=1216 read=2 cycle= 31
bad tile=1216 read=2 cycle= 33
bad tile=1216 read=2 cycle= 35
bad tile=1216 read=2 cycle= 36
bad tile=1216 read=2 cycle= 37
bad tile=1302 read=1 cycle= 70
bad tile=1303 read=1 cycle= 34
bad tile=1303 read=1 cycle= 35
bad tile=1303 read=1 cycle= 36
bad tile=1303 read=1 cycle= 37
bad tile=1303 read=1 cycle= 38
bad tile=1303 read=1 cycle= 39
bad tile=1303 read=1 cycle= 40
bad tile=1303 read=1 cycle= 41
bad tile=1303 read=1 cycle= 42
bad tile=1304 read=1 cycle= 47
bad tile=1304 read=1 cycle= 49
bad tile=1304 read=1 cycle= 50
bad tile=1304 read=1 cycle= 51
bad tile=1304 read=1 cycle= 52
bad tile=1304 read=1 cycle= 53
bad tile=1304 read=1 cycle= 54
bad tile=1304 read=1 cycle= 55
bad tile=1304 read=1 cycle= 56
bad tile=1304 read=1 cycle= 57
bad tile=1304 read=1 cycle= 58
bad tile=1304 read=1 cycle= 59
bad tile=1304 read=1 cycle= 60
bad tile=1304 read=1 cycle= 61
bad tile=1304 read=1 cycle= 62
bad tile=1304 read=1 cycle= 63
bad tile=1304 read=1 cycle= 65
bad tile=1304 read=1 cycle= 66
bad tile=1304 read=1 cycle= 67
bad tile=1305 read=1 cycle= 18
bad tile=1308 read=1 cycle= 21
bad tile=1308 read=1 cycle= 22
bad tile=1308 read=1 cycle= 23
bad tile=1308 read=1 cycle= 24
bad tile=1308 read=1 cycle= 25
bad tile=1308 read=1 cycle= 26
bad tile=1308 read=1 cycle= 27
bad tile=1309 read=1 cycle= 33
bad tile=1309 read=1 cycle= 39
bad tile=1309 read=1 cycle= 40
bad tile=1309 read=1 cycle= 41
bad tile=1309 read=1 cycle= 42
bad tile=1309 read=1 cycle= 44
bad tile=1309 read=1 cycle= 45
bad tile=1310 read=2 cycle=  4
bad tile=1310 read=2 cycle=  8
bad tile=1310 read=2 cycle= 10
bad tile=1310 read=2 cycle= 35
bad tile=1310 read=2 cycle= 56
bad tile=1316 read=1 cycle=  6
bad tile=1316 read=2 cycle= 25
bad tile=1316 read=2 cycle= 29
bad tile=1316 read=2 cycle= 34
bad tile=2101 read=2 cycle= 41
bad tile=2102 read=1 cycle= 32
bad tile=2103 read=1 cycle= 19
bad tile=2103 read=1 cycle= 28
bad tile=2103 read=1 cycle= 30
bad tile=2103 read=1 cycle= 31
bad tile=2103 read=1 cycle= 32
bad tile=2103 read=1 cycle= 33
bad tile=2103 read=1 cycle= 34
bad tile=2103 read=1 cycle= 35
bad tile=2103 read=1 cycle= 36
bad tile=2103 read=1 cycle= 37
bad tile=2103 read=1 cycle= 38
bad tile=2103 read=1 cycle= 39
bad tile=2103 read=1 cycle= 40
bad tile=2103 read=1 cycle= 41
bad tile=2103 read=1 cycle= 42
bad tile=2103 read=1 cycle= 44
bad tile=2103 read=2 cycle= 61
bad tile=2104 read=1 cycle= 39
bad tile=2104 read=1 cycle= 47
bad tile=2104 read=1 cycle= 49
bad tile=2104 read=1 cycle= 50
bad tile=2104 read=1 cycle= 51
bad tile=2104 read=1 cycle= 52
bad tile=2104 read=1 cycle= 53
bad tile=2104 read=1 cycle= 54
bad tile=2104 read=1 cycle= 55
bad tile=2104 read=1 cycle= 56
bad tile=2104 read=1 cycle= 58
bad tile=2104 read=1 cycle= 59
bad tile=2104 read=1 cycle= 60
bad tile=2104 read=1 cycle= 61
bad tile=2104 read=1 cycle= 62
bad tile=2104 read=1 cycle= 63
bad tile=2104 read=1 cycle= 64
bad tile=2104 read=1 cycle= 65
bad tile=2104 read=1 cycle= 69
bad tile=2104 read=1 cycle= 73
bad tile=2104 read=2 cycle=  1
bad tile=2107 read=1 cycle= 23
bad tile=2108 read=1 cycle= 22
bad tile=2108 read=1 cycle= 24
bad tile=2108 read=1 cycle= 25
bad tile=2108 read=1 cycle= 26
bad tile=2108 read=1 cycle= 27
bad tile=2108 read=2 cycle= 62
bad tile=2109 read=1 cycle= 34
bad tile=2109 read=1 cycle= 35
bad tile=2109 read=1 cycle= 36
bad tile=2109 read=1 cycle= 37
bad tile=2109 read=1 cycle= 39
bad tile=2109 read=1 cycle= 41
bad tile=2109 read=1 cycle= 43
bad tile=2109 read=2 cycle=  1
bad tile=2110 read=2 cycle= 14
bad tile=2110 read=2 cycle= 24
bad tile=2110 read=2 cycle= 37
bad tile=2110 read=2 cycle= 49
bad tile=2110 read=2 cycle= 51
bad tile=2110 read=2 cycle= 57
bad tile=2112 read=2 cycle=  6
bad tile=2112 read=2 cycle= 40
bad tile=2112 read=2 cycle= 44
bad tile=2115 read=1 cycle= 11
bad tile=2115 read=2 cycle= 10
bad tile=2115 read=2 cycle= 39
bad tile=2116 read=2 cycle=  4
bad tile=2116 read=2 cycle=  9
bad tile=2116 read=2 cycle= 22
bad tile=2116 read=2 cycle= 23
bad tile=2116 read=2 cycle= 24
bad tile=2116 read=2 cycle= 25
bad tile=2116 read=2 cycle= 26
bad tile=2116 read=2 cycle= 27
bad tile=2116 read=2 cycle= 28
bad tile=2116 read=2 cycle= 29
bad tile=2116 read=2 cycle= 30
bad tile=2116 read=2 cycle= 31
bad tile=2116 read=2 cycle= 32
bad tile=2116 read=2 cycle= 34
bad tile=2116 read=2 cycle= 38
bad tile=2116 read=2 cycle= 39
bad tile=2201 read=2 cycle= 12
bad tile=2201 read=2 cycle= 35
bad tile=2201 read=2 cycle= 38
bad tile=2201 read=2 cycle= 40
bad tile=2201 read=2 cycle= 41
bad tile=2201 read=2 cycle= 46
bad tile=2201 read=2 cycle= 70
bad tile=2201 read=2 cycle= 71
bad tile=2201 read=2 cycle= 72
bad tile=2202 read=1 cycle= 72
bad tile=2202 read=1 cycle= 73
bad tile=2202 read=1 cycle= 74
bad tile=2202 read=2 cycle= 20
bad tile=2202 read=2 cycle= 60
bad tile=2202 read=2 cycle= 63
bad tile=2202 read=2 cycle= 69
bad tile=2203 read=1 cycle= 30
bad tile=2203 read=1 cycle= 31
bad tile=2203 read=1 cycle= 32
bad tile=2203 read=1 cycle= 33
bad tile=2203 read=1 cycle= 34
bad tile=2203 read=1 cycle= 35
bad tile=2203 read=1 cycle= 36
bad tile=2203 read=1 cycle= 37
bad tile=2203 read=1 cycle= 38
bad tile=2203 read=2 cycle= 40
bad tile=2203 read=2 cycle= 65
bad tile=2204 read=1 cycle= 13
bad tile=2204 read=1 cycle= 46
bad tile=2204 read=1 cycle= 47
bad tile=2204 read=1 cycle= 49
bad tile=2204 read=1 cycle= 50
bad tile=2204 read=1 cycle= 51
bad tile=2204 read=1 cycle= 52
bad tile=2204 read=1 cycle= 53
bad tile=2204 read=1 cycle= 54
bad tile=2204 read=1 cycle= 55
bad tile=2204 read=1 cycle= 56
bad tile=2204 read=1 cycle= 57
bad tile=2204 read=1 cycle= 58
bad tile=2204 read=1 cycle= 59
bad tile=2204 read=1 cycle= 60
bad tile=2204 read=1 cycle= 61
bad tile=2204 read=1 cycle= 62
bad tile=2204 read=1 cycle= 63
bad tile=2204 read=1 cycle= 64
bad tile=2204 read=1 cycle= 65
bad tile=2204 read=1 cycle= 66
bad tile=2204 read=1 cycle= 67
bad tile=2204 read=1 cycle= 68
bad tile=2204 read=1 cycle= 69
bad tile=2204 read=1 cycle= 70
bad tile=2204 read=2 cycle=  2
bad tile=2204 read=2 cycle= 68
bad tile=2204 read=2 cycle= 70
bad tile=2204 read=2 cycle= 71
bad tile=2204 read=2 cycle= 74
bad tile=2205 read=2 cycle= 54
bad tile=2207 read=1 cycle= 23
bad tile=2208 read=1 cycle= 24
bad tile=2208 read=1 cycle= 25
bad tile=2208 read=1 cycle= 27
bad tile=2208 read=1 cycle= 28
bad tile=2209 read=1 cycle= 37
bad tile=2209 read=1 cycle= 39
bad tile=2209 read=1 cycle= 40
bad tile=2209 read=1 cycle= 41
bad tile=2209 read=1 cycle= 42
bad tile=2209 read=1 cycle= 43
bad tile=2209 read=1 cycle= 46
bad tile=2209 read=1 cycle= 48
bad tile=2209 read=1 cycle= 72
bad tile=2209 read=1 cycle= 74
bad tile=2210 read=2 cycle= 10
bad tile=2210 read=2 cycle= 17
bad tile=2210 read=2 cycle= 69
bad tile=2212 read=2 cycle= 45
bad tile=2215 read=2 cycle= 21
bad tile=2216 read=1 cycle=  4
bad tile=2302 read=2 cycle=  8
bad tile=2302 read=2 cycle=  9
bad tile=2303 read=1 cycle= 27
bad tile=2303 read=1 cycle= 29
bad tile=2303 read=1 cycle= 31
bad tile=2303 read=1 cycle= 32
bad tile=2303 read=1 cycle= 33
bad tile=2303 read=1 cycle= 34
bad tile=2303 read=1 cycle= 35
bad tile=2303 read=1 cycle= 36
bad tile=2303 read=1 cycle= 38
bad tile=2303 read=1 cycle= 39
bad tile=2303 read=1 cycle= 40
bad tile=2303 read=1 cycle= 41
bad tile=2303 read=1 cycle= 42
bad tile=2303 read=1 cycle= 49
bad tile=2303 read=2 cycle= 68
bad tile=2304 read=1 cycle=  6
bad tile=2304 read=1 cycle= 44
bad tile=2304 read=1 cycle= 46
bad tile=2304 read=1 cycle= 47
bad tile=2304 read=1 cycle= 48
bad tile=2304 read=1 cycle= 49
bad tile=2304 read=1 cycle= 50
bad tile=2304 read=1 cycle= 51
bad tile=2304 read=1 cycle= 52
bad tile=2304 read=1 cycle= 53
bad tile=2304 read=1 cycle= 54
bad tile=2304 read=1 cycle= 55
bad tile=2304 read=1 cycle= 56
bad tile=2304 read=1 cycle= 57
bad tile=2304 read=1 cycle= 58
bad tile=2304 read=1 cycle= 59
bad tile=2304 read=1 cycle= 60
bad tile=2304 read=1 cycle= 61
bad tile=2304 read=1 cycle= 62
bad tile=2304 read=1 cycle= 65
bad tile=2304 read=1 cycle= 66
bad tile=2304 read=1 cycle= 67
bad tile=2304 read=1 cycle= 68
bad tile=2304 read=1 cycle= 69
bad tile=2304 read=1 cycle= 71
bad tile=2304 read=2 cycle= 74
bad tile=2306 read=1 cycle=  0
bad tile=2306 read=1 cycle= 28
bad tile=2307 read=2 cycle= 69
bad tile=2308 read=1 cycle= 19
bad tile=2308 read=1 cycle= 20
bad tile=2308 read=1 cycle= 22
bad tile=2308 read=1 cycle= 23
bad tile=2308 read=1 cycle= 24
bad tile=2308 read=1 cycle= 25
bad tile=2308 read=1 cycle= 27
bad tile=2308 read=1 cycle= 28
bad tile=2308 read=1 cycle= 29
bad tile=2308 read=2 cycle= 22
bad tile=2308 read=2 cycle= 23
bad tile=2309 read=1 cycle= 34
bad tile=2309 read=1 cycle= 36
bad tile=2309 read=1 cycle= 37
bad tile=2309 read=1 cycle= 39
bad tile=2309 read=1 cycle= 40
bad tile=2309 read=1 cycle= 41
bad tile=2309 read=1 cycle= 42
bad tile=2309 read=1 cycle= 43
bad tile=2310 read=1 cycle=  0
bad tile=2310 read=2 cycle=  7
bad tile=2310 read=2 cycle=  8
bad tile=2310 read=2 cycle=  9
bad tile=2310 read=2 cycle= 12
bad tile=2310 read=2 cycle= 13
bad tile=2310 read=2 cycle= 17
bad tile=2310 read=2 cycle= 23
bad tile=2310 read=2 cycle= 31
bad tile=2310 read=2 cycle= 34
bad tile=2310 read=2 cycle= 37
bad tile=2310 read=2 cycle= 38
bad tile=2310 read=2 cycle= 39
bad tile=2310 read=2 cycle= 40
bad tile=2310 read=2 cycle= 42
bad tile=2310 read=2 cycle= 43
bad tile=2310 read=2 cycle= 44
bad tile=2310 read=2 cycle= 45
bad tile=2310 read=2 cycle= 47
bad tile=2310 read=2 cycle= 50
bad tile=2310 read=2 cycle= 54
bad tile=2310 read=2 cycle= 55
bad tile=2310 read=2 cycle= 57
bad tile=2310 read=2 cycle= 58
bad tile=2310 read=2 cycle= 64
bad tile=2310 read=2 cycle= 67
bad tile=2312 read=1 cycle=  3
bad tile=2312 read=2 cycle= 46
bad tile=2313 read=2 cycle=  5
bad tile=2314 read=1 cycle= 23
bad tile=2315 read=2 cycle= 16
bad tile=2315 read=2 cycle= 59
bad tile=2316 read=2 cycle=  4
bad tile=2316 read=2 cycle= 32
bad tile=2316 read=2 cycle= 59
INFO	2012-12-10 07:30:34	BamMerger	Open aligned bam file: pb_align_8926_1.bam
INFO	2012-12-10 07:30:35	BamMerger	Open input file to merge: stdin
Processing tile 1101 (0)
INFO	2012-12-10 07:31:51	BamMerger	Generate new bam/sam output header
INFO	2012-12-10 07:31:51	BamMerger	Open output file with header: 8926_1.bam
INFO	2012-12-10 07:31:51	BamMerger	Starting to merge
Processing tile 1102 (4340658)
Processing tile 1103 (8672606)
Processing tile 1104 (12931104)
Processing tile 1105 (17253788)
Processing tile 1106 (21601022)
Processing tile 1107 (25793538)
Processing tile 1108 (30187060)
Processing tile 1109 (34189170)
Processing tile 1110 (38581988)
Processing tile 1111 (43015002)
Processing tile 1112 (47293868)
Processing tile 1113 (51758776)
Processing tile 1114 (56188012)
Processing tile 1115 (60532486)
Processing tile 1116 (64948606)
Processing tile 1201 (69342090)
Processing tile 1202 (73725680)
Processing tile 1203 (78110024)
Processing tile 1204 (82352654)
Processing tile 1205 (86688712)
Processing tile 1206 (91082502)
Processing tile 1207 (95479806)
Processing tile 1208 (99913320)
Processing tile 1209 (104037166)
Processing tile 1210 (108495604)
Processing tile 1211 (113007916)
Processing tile 1212 (117525632)
Processing tile 1213 (122102784)
Processing tile 1214 (126646306)
Processing tile 1215 (131111450)
Processing tile 1216 (135743778)
Processing tile 1301 (140374302)
Processing tile 1302 (144629136)
Processing tile 1303 (148921156)
Processing tile 1304 (153122986)
Processing tile 1305 (157390666)
Processing tile 1306 (161689550)
Processing tile 1307 (166044816)
Processing tile 1308 (170420764)
Processing tile 1309 (174496278)
Processing tile 1310 (178919800)
Processing tile 1311 (183392278)
Processing tile 1312 (187904326)
Processing tile 1313 (192442312)
Processing tile 1314 (196963752)
Processing tile 1315 (201509690)
Processing tile 1316 (206142944)
Processing tile 2101 (210748432)
Processing tile 2102 (215132486)
Processing tile 2103 (219498964)
Processing tile 2104 (223724512)
Processing tile 2105 (228005968)
Processing tile 2106 (232311440)
Processing tile 2107 (236454922)
Processing tile 2108 (240780838)
Processing tile 2109 (244759572)
Processing tile 2110 (249081508)
Processing tile 2111 (253436484)
Processing tile 2112 (257655980)
Processing tile 2113 (262058208)
Processing tile 2114 (266431364)
Processing tile 2115 (270779028)
Processing tile 2116 (275227702)
Processing tile 2201 (279629924)
Processing tile 2202 (284047944)
Processing tile 2203 (288451908)
Processing tile 2204 (292727286)
Processing tile 2205 (297082486)
Processing tile 2206 (301486958)
Processing tile 2207 (305906884)
Processing tile 2208 (310366896)
Processing tile 2209 (314441378)
Processing tile 2210 (318894642)
Processing tile 2211 (323412518)
Processing tile 2212 (327936982)
Processing tile 2213 (332506738)
Processing tile 2214 (337051152)
Processing tile 2215 (341596406)
Processing tile 2216 (346241484)
Processing tile 2301 (350866902)
Processing tile 2302 (355037446)
Processing tile 2303 (359235284)
Processing tile 2304 (363333840)
Processing tile 2305 (367505420)
Processing tile 2306 (371683862)
Processing tile 2307 (375912572)
Processing tile 2308 (380201532)
Processing tile 2309 (384139708)
Processing tile 2310 (388457942)
Processing tile 2311 (392838074)
Processing tile 2312 (397247902)
Processing tile 2313 (401688320)
Processing tile 2314 (406131222)
Processing tile 2315 (410578774)
Processing tile 2316 (415123342)
Wrote 419675538 traces
Processed 419675538 traces
QC failed        0 traces
INFO	2012-12-10 18:33:12	BamMerger	Merging finished, merged file: 8926_1.bam
[Mon Dec 10 18:33:12 GMT 2012] uk.ac.sanger.npg.picard.BamMerger done. Elapsed time: 662.63 minutes.
Runtime.totalMemory()=9306112

------------------------------------------------------------
Sender: LSF System <lsfadmin@sf-5-2-16>
Subject: Job 494308: <prod_PB_cal_score_8926_1_20121209-190404> Done

Job <prod_PB_cal_score_8926_1_20121209-190404> was submitted from host <sf-4-1-02> by user <srpipe> in cluster <seqfarm>.
Job was executed on host(s) <sf-5-2-16>, in queue <srpipeline>, as user <srpipe> in cluster <seqfarm>.
</nfs/users/nfs_s/srpipe> was used as the home directory.
</nfs/sf47/ILorHSany_sf47/analysis/121130_HS9_08926_A_C16HRACXX/Data/Intensities/BAM_basecalls_20121209-190404/PB_cal_bam> was used as the working directory.
Started at Mon Dec 10 07:30:31 2012
Results reported at Mon Dec 10 18:33:12 2012

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
if [[ -f pb_align_8926_1.bam ]]; then echo phix alignment so merging alignments with 1>&2; set -o pipefail; (if [ -f 8926_1_purity_cycle_caltable.txt ]; then echo  recalibrated qvals 1>&2; /software/solexa/bin/pb_calibration/v10.1/pb_predictor --u --bam ../8926_1.bam --intensity_dir /nfs/sf47/ILorHSany_sf47/analysis//121130_HS9_08926_A_C16HRACXX/Data/Intensities --cstart1 1 --cstart2 84 --ct 8926_1_purity_cycle_caltable.txt ; else echo no recalibration 1>&2; cat ../8926_1.bam ; fi;) | /software/solexa/bin/pb_calibration/v10.1/spatial_filter -u -a -f -F pb_align_8926_1.bam.filter - |  /software/bin/java -Xmx1024m -jar /software/solexa/bin/aligners/illumina2bam/Illumina2bam-tools-V1.08/BamMerger.jar CREATE_MD5_FILE=true VALIDATION_STRINGENCY=SILENT KEEP=true I=/dev/stdin REPLACE_QUAL=true O=8926_1.bam ALIGNED=pb_align_8926_1.bam; else echo symlinking as no phix alignment 1>&2; rm -f 8926_1.bam; ln -s ../8926_1.bam 8926_1.bam; rm -f 8926_1.bam.md5; ln -s ../8926_1.bam.md5 8926_1.bam.md5; fi 
------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time   :  39299.98 sec.
    Max Memory :       688 MB
    Max Swap   :      2138 MB

    Max Processes  :         7
    Max Threads    :        27

The output (if any) is above this job summary.

