phix alignment so merging alignments with
recalibrated qvals
do not compress output bam file
input bam file ../8926_2.bam
intensity_dir /nfs/sf47/ILorHSany_sf47/analysis//121130_HS9_08926_A_C16HRACXX/Data/Intensities
cstart1 1
cstart2 84
ct 8926_4_purity_cycle_caltable.txt
intensity directory /nfs/sf47/ILorHSany_sf47/analysis//121130_HS9_08926_A_C16HRACXX/Data/Intensities
Recalibrating...
Will write to stdout
[Mon Dec 10 07:30:34 GMT 2012] uk.ac.sanger.npg.picard.BamMerger ALIGNED_BAM=pb_align_8926_4.bam INPUT=/dev/stdin OUTPUT=8926_4.bam KEEP_EXTRA_UNMAPPED_READS=true REPLACE_ALIGNED_BASE_QUALITY=true VALIDATION_STRINGENCY=SILENT CREATE_MD5_FILE=true    ALIGNMENT_PROGRAM_ID=bwa KEEP_ALL_PG=false VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false
Cmd: /software/solexa/bin/pb_calibration/v10.1/spatial_filter -a  -f  -u  -F pb_align_8926_4.bam.filter -
[Mon Dec 10 07:30:34 GMT 2012] Executing as srpipe@sf-5-2-16 on Linux 2.6.32.59-sles-lustre-1.8.8wc1 amd64; Java HotSpot(TM) 64-Bit Server VM 1.6.0_14-b08; Picard version: V1.08
INFO	reading calibration table 8926_4_purity_cycle_caltable.txt
bad tile=2210 read=2 cycle= 57
bad tile=2210 read=2 cycle= 59
bad tile=2210 read=2 cycle= 65
bad tile=2212 read=2 cycle= 45
bad tile=2215 read=2 cycle= 13
bad tile=2215 read=2 cycle= 16
bad tile=2215 read=2 cycle= 22
bad tile=2216 read=2 cycle= 33
bad tile=2302 read=1 cycle= 74
bad tile=2303 read=1 cycle= 31
bad tile=2303 read=1 cycle= 32
bad tile=2303 read=1 cycle= 34
bad tile=2303 read=1 cycle= 35
bad tile=2303 read=1 cycle= 36
bad tile=2303 read=1 cycle= 37
bad tile=2303 read=1 cycle= 38
bad tile=2303 read=1 cycle= 39
bad tile=2303 read=1 cycle= 40
bad tile=2303 read=1 cycle= 41
bad tile=2304 read=1 cycle= 48
bad tile=2304 read=1 cycle= 49
bad tile=2304 read=1 cycle= 50
bad tile=2304 read=1 cycle= 51
bad tile=2304 read=1 cycle= 52
bad tile=2304 read=1 cycle= 53
bad tile=2304 read=1 cycle= 54
bad tile=2304 read=1 cycle= 55
bad tile=2304 read=1 cycle= 56
bad tile=2304 read=1 cycle= 57
bad tile=2304 read=1 cycle= 58
bad tile=2304 read=1 cycle= 59
bad tile=2304 read=1 cycle= 60
bad tile=2304 read=1 cycle= 61
bad tile=2304 read=1 cycle= 62
bad tile=2304 read=1 cycle= 63
bad tile=2304 read=1 cycle= 64
bad tile=2304 read=1 cycle= 65
bad tile=2304 read=1 cycle= 66
bad tile=2304 read=1 cycle= 67
bad tile=2304 read=1 cycle= 68
bad tile=2304 read=1 cycle= 69
bad tile=2304 read=1 cycle= 71
bad tile=2304 read=1 cycle= 73
bad tile=2304 read=2 cycle=  1
bad tile=2304 read=2 cycle= 49
bad tile=2304 read=2 cycle= 69
bad tile=2304 read=2 cycle= 74
bad tile=2305 read=1 cycle=  3
bad tile=2308 read=1 cycle= 18
bad tile=2308 read=1 cycle= 22
bad tile=2308 read=1 cycle= 23
bad tile=2308 read=1 cycle= 24
bad tile=2308 read=1 cycle= 25
bad tile=2308 read=1 cycle= 26
bad tile=2308 read=1 cycle= 27
bad tile=2308 read=1 cycle= 28
bad tile=2308 read=1 cycle= 29
bad tile=2308 read=2 cycle= 34
bad tile=2308 read=2 cycle= 39
bad tile=2309 read=1 cycle= 30
bad tile=2309 read=1 cycle= 37
bad tile=2309 read=1 cycle= 38
bad tile=2309 read=1 cycle= 39
bad tile=2309 read=1 cycle= 40
bad tile=2309 read=1 cycle= 41
bad tile=2309 read=1 cycle= 42
bad tile=2309 read=1 cycle= 43
bad tile=2309 read=1 cycle= 44
bad tile=2309 read=1 cycle= 46
bad tile=2309 read=2 cycle=  1
bad tile=2310 read=2 cycle=  6
bad tile=2310 read=2 cycle=  7
bad tile=2310 read=2 cycle= 13
bad tile=2310 read=2 cycle= 19
bad tile=2310 read=2 cycle= 20
bad tile=2310 read=2 cycle= 33
bad tile=2310 read=2 cycle= 39
bad tile=2310 read=2 cycle= 43
bad tile=2310 read=2 cycle= 55
bad tile=2310 read=2 cycle= 56
bad tile=2310 read=2 cycle= 57
bad tile=2310 read=2 cycle= 60
bad tile=2310 read=2 cycle= 65
bad tile=2310 read=2 cycle= 72
bad tile=2312 read=2 cycle= 25
bad tile=2312 read=2 cycle= 45
bad tile=2312 read=2 cycle= 46
bad tile=2312 read=2 cycle= 53
bad tile=2312 read=2 cycle= 62
bad tile=2313 read=2 cycle= 50
bad tile=2314 read=1 cycle= 11
bad tile=2314 read=2 cycle= 73
bad tile=2315 read=1 cycle= 11
bad tile=2315 read=2 cycle= 20
bad tile=2316 read=2 cycle=  8
bad tile=2316 read=2 cycle= 29
bad tile=2316 read=2 cycle= 32
INFO	2012-12-10 07:30:34	BamMerger	Open aligned bam file: pb_align_8926_4.bam
INFO	2012-12-10 07:30:35	BamMerger	Open input file to merge: stdin
Processing tile 1101 (0)
INFO	2012-12-10 07:31:51	BamMerger	Generate new bam/sam output header
INFO	2012-12-10 07:31:51	BamMerger	Open output file with header: 8926_4.bam
INFO	2012-12-10 07:31:51	BamMerger	Starting to merge
Processing tile 1102 (4519920)
Processing tile 1103 (9063292)
Processing tile 1104 (13492596)
Processing tile 1105 (17973794)
Processing tile 1106 (22530586)
Processing tile 1107 (27103142)
Processing tile 1108 (31711412)
Processing tile 1109 (35772802)
Processing tile 1110 (40338898)
Processing tile 1111 (44965642)
Processing tile 1112 (49575062)
Processing tile 1113 (54210520)
Processing tile 1114 (58786942)
Processing tile 1115 (63303300)
Processing tile 1116 (67889180)
Processing tile 1201 (72411250)
Processing tile 1202 (76997200)
Processing tile 1203 (81612694)
Processing tile 1204 (86103384)
Processing tile 1205 (90666836)
Processing tile 1206 (95279874)
Processing tile 1207 (99941812)
Processing tile 1208 (104636298)
Processing tile 1209 (108917742)
Processing tile 1210 (113597466)
Processing tile 1211 (118340340)
Processing tile 1212 (123113516)
Processing tile 1213 (127904376)
Processing tile 1214 (132663844)
Processing tile 1215 (137379890)
Processing tile 1216 (142203260)
Processing tile 1301 (146984772)
Processing tile 1302 (151407704)
Processing tile 1303 (155895908)
