read group,format,segment index,segment label,is required,is trimmed,num input reads,num prefiltered reads,num failed reads,num discarded reads,num filtered reads,num trimmed reads,num failures,num matches,num matched bases
UGAv3-1269,no trimming,0,insert,False,False,13660,0,10672,0,0,0,10672,2988,884557
UGAv3-1276,no trimming,0,insert,False,False,6471,0,3450,0,0,0,3450,3021,880782
UGAv3-1278,no trimming,0,insert,False,False,38736,0,6502,0,0,0,6502,32234,9744439
UGAv3-1280,no trimming,0,insert,False,False,10650,0,2425,0,0,0,2425,8225,2416216
UGAv3-1285,no trimming,0,insert,False,False,33713,0,8724,0,0,0,8724,24989,7550733
UGAv3-1286,no trimming,0,insert,False,False,616166,0,545152,0,0,0,545152,71014,21075716
UGAv3-1292,no trimming,0,insert,False,False,58250,0,50691,0,0,0,50691,7559,2284701
UGAv3-1295,no trimming,0,insert,False,False,44033,0,31048,0,0,0,31048,12985,3986869
UGAv3-1300,no trimming,0,insert,False,False,18265,0,5196,0,0,0,5196,13069,3944518
UGAv3-1301,no trimming,0,insert,False,False,15003,0,4648,0,0,0,4648,10355,3131626
UGAv3-1303,no trimming,0,insert,False,False,4563,0,2342,0,0,0,2342,2221,647522
UGAv3-1307,no trimming,0,insert,False,False,42071,0,10070,0,0,0,10070,32001,9729056
UGAv3-1315,no trimming,0,insert,False,False,23250,0,12639,0,0,0,12639,10611,3089809
UGAv3-1318,no trimming,0,insert,False,False,28183,0,7905,0,0,0,7905,20278,6107764
UGAv3-1324,no trimming,0,insert,False,False,47112,0,21288,0,0,0,21288,25824,7790268
UGAv3-1328,no trimming,0,insert,False,False,16713,0,5419,0,0,0,5419,11294,3376601
UGAv3-1329,no trimming,0,insert,False,False,77162,0,67781,0,0,0,67781,9381,2835580
UGAv3-1332,no trimming,0,insert,False,False,13104,0,3092,0,0,0,3092,10012,2953794
UGAv3-1349,no trimming,0,insert,False,False,48078,0,38744,0,0,0,38744,9334,2864236
UGAv3-1352,no trimming,0,insert,False,False,17386,0,10238,0,0,0,10238,7148,2162741
UGAv3-1354,no trimming,0,insert,False,False,3862,0,1875,0,0,0,1875,1987,586073
UGAv3-1359,no trimming,0,insert,False,False,8954,0,6508,0,0,0,6508,2446,712437
UGAv3-1360,no trimming,0,insert,False,False,8566,0,1914,0,0,0,1914,6652,2001510
UGAv3-1369,no trimming,0,insert,False,False,130440,0,115981,0,0,0,115981,14459,3932222
UGAv3-1372,no trimming,0,insert,False,False,28454,0,22078,0,0,0,22078,6376,1912330
UGAv3-1373,no trimming,0,insert,False,False,3292835,0,3136248,0,0,0,3136248,156587,32471001
UGAv3-1379,no trimming,0,insert,False,False,481444,0,467260,0,0,0,467260,14184,3567988
UGAv3-1382,no trimming,0,insert,False,False,313436,0,276653,0,0,0,276653,36783,9947478
UGAv3-1385,no trimming,0,insert,False,False,102761,0,95572,0,0,0,95572,7189,2092354
UGAv3-1389,no trimming,0,insert,False,False,384240,0,350968,0,0,0,350968,33272,8244812
UGAv3-1392,no trimming,0,insert,False,False,1616898,0,1592290,0,0,0,1592290,24608,5629915
UGAv3-1401,no trimming,0,insert,False,False,14186,0,6502,0,0,0,6502,7684,2338424
UGAv3-1406,no trimming,0,insert,False,False,62447,0,53748,0,0,0,53748,8699,2592371
UGAv3-1408,no trimming,0,insert,False,False,9970,0,2385,0,0,0,2385,7585,2237539
UGAv3-1409,no trimming,0,insert,False,False,13808,0,5877,0,0,0,5877,7931,2396180
UGAv3-1415,no trimming,0,insert,False,False,14587,0,6115,0,0,0,6115,8472,2567787
UGAv3-1422,no trimming,0,insert,False,False,9483,0,4299,0,0,0,4299,5184,1531681
UGAv3-1423,no trimming,0,insert,False,False,35195,0,15608,0,0,0,15608,19587,5915658
UGAv3-1426,no trimming,0,insert,False,False,18417,0,6835,0,0,0,6835,11582,3497718
UGAv3-1429,no trimming,0,insert,False,False,667628,0,663446,0,0,0,663446,4182,1173272
UGAv3-1430,no trimming,0,insert,False,False,403944,0,365355,0,0,0,365355,38589,8351249
UGAv3-1432,no trimming,0,insert,False,False,22769,0,13258,0,0,0,13258,9511,2933473
UGAv3-1450,no trimming,0,insert,False,False,10911,0,6988,0,0,0,6988,3923,1154065
UGAv3-1451,no trimming,0,insert,False,False,2947,0,774,0,0,0,774,2173,625256
UGAv3-1452,no trimming,0,insert,False,False,4110,0,1419,0,0,0,1419,2691,765140
UGAv3-1463,no trimming,0,insert,False,False,62626,0,61205,0,0,0,61205,1421,413907
UGAv3-1466,no trimming,0,insert,False,False,1240287,0,1223936,0,0,0,1223936,16351,3668333
UGAv3-1469,no trimming,0,insert,False,False,24132,0,10101,0,0,0,10101,14031,4205132
UGAv3-1493,no trimming,0,insert,False,False,15171,0,6838,0,0,0,6838,8333,2502109
UGAv3-1496,no trimming,0,insert,False,False,28257,0,17109,0,0,0,17109,11147,3333616
UGAv3-1505,no trimming,0,insert,False,False,12167,0,4843,0,0,0,4843,7324,2198619
UGAv3-1507,no trimming,0,insert,False,False,17626,0,15663,0,0,0,15663,1963,581719
UGAv3-1520,no trimming,0,insert,False,False,5218,0,3704,0,0,0,3704,1514,459678
UGAv3-1527,no trimming,0,insert,False,False,11440,0,3567,0,0,0,3567,7873,2324245
UGAv3-1531,no trimming,0,insert,False,False,7613,0,1731,0,0,0,1731,5882,1724067
UGAv3-1546,no trimming,0,insert,False,False,11161,0,4052,0,0,0,4052,7109,2041359
UGAv3-1559,no trimming,0,insert,False,False,34760,0,10499,0,0,0,10499,24261,7127111
UGAv3-1564,no trimming,0,insert,False,False,14922,0,8513,0,0,0,8513,6409,1879065
